POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231006;100000;+02;0,119;;0,0;;;;;E;
IT012E00107977;20231006;101500;+02;0,054;;0,0;;;;;E;
IT012E00107977;20231006;103000;+02;0,044;;0,0;;;;;E;
IT012E00107977;20231006;104500;+02;0,044;;0,0;;;;;E;
IT012E00107977;20231006;110000;+02;0,042;;0,0;;;;;E;
IT012E00107977;20231006;111500;+02;0,095;;0,0;;;;;E;
IT012E00107977;20231006;113000;+02;0,052;;0,0;;;;;E;
IT012E00107977;20231006;114500;+02;0,056;;0,0;;;;;E;
IT012E00107977;20231006;120000;+02;0,113;;0,0;;;;;E;
IT012E00107977;20231006;121500;+02;0,246;;0,0;;;;;E;
IT012E00107977;20231006;123000;+02;0,164;;0,0;;;;;E;
IT012E00107977;20231006;124500;+02;0,096;;0,0;;;;;E;
IT012E00107977;20231006;130000;+02;0,031;;0,0;;;;;E;
IT012E00107977;20231006;131500;+02;0,072;;0,0;;;;;E;
IT012E00107977;20231006;133000;+02;0,023;;0,0;;;;;E;
IT012E00107977;20231006;134500;+02;0,022;;0,0;;;;;E;
IT012E00107977;20231006;140000;+02;0,066;;0,0;;;;;E;
IT012E00107977;20231006;141500;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231006;143000;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231006;144500;+02;0,081;;0,002;;;;;E;
IT012E00107977;20231006;150000;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231006;151500;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231006;153000;+02;0,015;;0,0;;;;;E;
IT012E00107977;20231006;154500;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231006;160000;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231006;161500;+02;0,061;;0,0;;;;;E;
IT012E00107977;20231006;163000;+02;0,041;;0,0;;;;;E;
IT012E00107977;20231006;164500;+02;0,096;;0,0;;;;;E;
IT012E00107977;20231006;170000;+02;0,078;;0,0;;;;;E;
IT012E00107977;20231006;171500;+02;0,069;;0,0;;;;;E;
IT012E00107977;20231006;173000;+02;0,089;;0,0;;;;;E;
IT012E00107977;20231006;174500;+02;0,045;;0,0;;;;;E;
IT012E00107977;20231006;180000;+02;0,097;;0,0;;;;;E;
IT012E00107977;20231006;181500;+02;0,027;;0,0;;;;;E;
IT012E00107977;20231006;183000;+02;0,023;;0,0;;;;;E;
IT012E00107977;20231006;184500;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231006;190000;+02;0,08;;0,0;;;;;E;
IT012E00107977;20231006;191500;+02;0,037;;0,0;;;;;E;
IT012E00107977;20231006;193000;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231006;194500;+02;0,03;;0,0;;;;;E;
IT012E00107977;20231006;200000;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231006;201500;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231006;203000;+02;0,063;;0,0;;;;;E;
IT012E00107977;20231006;204500;+02;0,064;;0,0;;;;;E;
IT012E00107977;20231006;210000;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231006;211500;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231006;213000;+02;0,091;;0,0;;;;;E;
IT012E00107977;20231006;214500;+02;0,047;;0,0;;;;;E;
IT012E00107977;20231006;220000;+02;0,048;;0,0;;;;;E;
IT012E00107977;20231006;221500;+02;0,045;;0,0;;;;;E;
IT012E00107977;20231006;223000;+02;0,045;;0,0;;;;;E;
IT012E00107977;20231006;224500;+02;0,046;;0,0;;;;;E;
IT012E00107977;20231006;230000;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231006;231500;+02;0,201;;0,0;;;;;E;
IT012E00107977;20231006;233000;+02;0,105;;0,0;;;;;E;
IT012E00107977;20231006;234500;+02;0,197;;0,008;;;;;E;
IT012E00107977;20231007;000000;+02;0,132;;0,0;;;;;E;
IT012E00107977;20231007;001500;+02;0,096;;0,0;;;;;E;
IT012E00107977;20231007;003000;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231007;004500;+02;0,084;;0,0;;;;;E;
IT012E00107977;20231007;010000;+02;0,051;;0,0;;;;;E;
IT012E00107977;20231007;011500;+02;0,059;;0,0;;;;;E;
IT012E00107977;20231007;013000;+02;0,029;;0,0;;;;;E;
IT012E00107977;20231007;014500;+02;0,081;;0,0;;;;;E;
IT012E00107977;20231007;020000;+02;0,02;;0,0;;;;;E;
IT012E00107977;20231007;021500;+02;0,03;;0,0;;;;;E;
IT012E00107977;20231007;023000;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231007;024500;+02;0,093;;0,0;;;;;E;
IT012E00107977;20231007;030000;+02;0,269;;0,0;;;;;E;
IT012E00107977;20231007;031500;+02;0,139;;0,0;;;;;E;
IT012E00107977;20231007;033000;+02;0,108;;0,0;;;;;E;
IT012E00107977;20231007;034500;+02;0,151;;0,0;;;;;E;
IT012E00107977;20231007;040000;+02;0,084;;0,0;;;;;E;
IT012E00107977;20231007;041500;+02;0,073;;0,0;;;;;E;
IT012E00107977;20231007;043000;+02;0,061;;0,0;;;;;E;
IT012E00107977;20231007;044500;+02;0,027;;0,0;;;;;E;
IT012E00107977;20231007;050000;+02;0,072;;0,0;;;;;E;
IT012E00107977;20231007;051500;+02;0,038;;0,0;;;;;E;
IT012E00107977;20231007;053000;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231007;054500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231007;060000;+02;0,068;;0,0;;;;;E;
IT012E00107977;20231007;061500;+02;0,013;;0,0;;;;;E;
IT012E00107977;20231007;063000;+02;0,007;;0,0;;;;;E;
IT012E00107977;20231007;064500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231007;070000;+02;0,076;;0,0;;;;;E;
IT012E00107977;20231007;071500;+02;0,042;;0,0;;;;;E;
IT012E00107977;20231007;073000;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231007;074500;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231007;080000;+02;0,023;;0,0;;;;;E;
IT012E00107977;20231007;081500;+02;0,021;;0,0;;;;;E;
IT012E00107977;20231007;083000;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231007;084500;+02;0,019;;0,0;;;;;E;
IT012E00107977;20231007;090000;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231007;091500;+02;0,031;;0,0;;;;;E;
IT012E00107977;20231007;093000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231007;094500;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231007;100000;+02;0,041;;0,003;;;;;E;
IT012E00107977;20231007;101500;+02;0,028;;0,002;;;;;E;
IT012E00107977;20231007;103000;+02;0,008;;0,0;;;;;E;
IT012E00107977;20231007;104500;+02;0,018;;0,0;;;;;E;
IT012E00107977;20231007;110000;+02;0,017;;0,0;;;;;E;
IT012E00107977;20231007;111500;+02;0,016;;0,0;;;;;E;
IT012E00107977;20231007;113000;+02;0,057;;0,0;;;;;E;
IT012E00107977;20231007;114500;+02;0,073;;0,0;;;;;E;
IT012E00107977;20231007;120000;+02;0,056;;0,0;;;;;E;
IT012E00107977;20231007;121500;+02;0,081;;0,0;;;;;E;
IT012E00107977;20231007;123000;+02;0,03;;0,0;;;;;E;
IT012E00107977;20231007;124500;+02;0,033;;0,0;;;;;E;
IT012E00107977;20231007;130000;+02;0,106;;0,0;;;;;E;
IT012E00107977;20231007;131500;+02;0,044;;0,0;;;;;E;
IT012E00107977;20231007;133000;+02;0,035;;0,0;;;;;E;
IT012E00107977;20231007;134500;+02;0,045;;0,0;;;;;E;
IT012E00107977;20231007;140000;+02;0,079;;0,0;;;;;E;
IT012E00107977;20231007;141500;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231007;143000;+02;0,036;;0,0;;;;;E;
IT012E00107977;20231007;144500;+02;0,032;;0,0;;;;;E;
IT012E00107977;20231007;150000;+02;0,041;;0,0;;;;;E;
IT012E00107977;20231007;151500;+02;0,059;;0,0;;;;;E;
IT012E00107977;20231007;153000;+02;0,068;;0,0;;;;;E;
IT012E00107977;20231007;154500;+02;0,031;;0,0;;;;;E;
IT012E00107977;20231007;160000;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231007;161500;+02;0,041;;0,0;;;;;E;
IT012E00107977;20231007;163000;+02;0,04;;0,0;;;;;E;
IT012E00107977;20231007;164500;+02;0,031;;0,0;;;;;E;
IT012E00107977;20231007;170000;+02;0,042;;0,0;;;;;E;
IT012E00107977;20231007;171500;+02;0,099;;0,0;;;;;E;
IT012E00107977;20231007;173000;+02;0,035;;0,0;;;;;E;
IT012E00107977;20231007;174500;+02;0,158;;0,0;;;;;E;
IT012E00107977;20231007;180000;+02;0,205;;0,0;;;;;E;
IT012E00107977;20231007;181500;+02;0,273;;0,0;;;;;E;
IT012E00107977;20231007;183000;+02;0,24;;0,0;;;;;E;
IT012E00107977;20231007;184500;+02;0,19;;0,008;;;;;E;
IT012E00107977;20231007;190000;+02;0,25;;0,029;;;;;E;
IT012E00107977;20231007;191500;+02;0,244;;0,031;;;;;E;
IT012E00107977;20231007;193000;+02;0,504;;0,025;;;;;E;
IT012E00107977;20231007;194500;+02;0,27;;0,0;;;;;E;
IT012E00107977;20231007;200000;+02;0,146;;0,0;;;;;E;
IT012E00107977;20231007;201500;+02;0,146;;0,0;;;;;E;
IT012E00107977;20231007;203000;+02;0,134;;0,0;;;;;E;
IT012E00107977;20231007;204500;+02;0,116;;0,0;;;;;E;
IT012E00107977;20231007;210000;+02;0,071;;0,0;;;;;E;
IT012E00107977;20231007;211500;+02;0,084;;0,0;;;;;E;
IT012E00107977;20231007;213000;+02;0,231;;0,0;;;;;E;
IT012E00107977;20231007;214500;+02;0,356;;0,0;;;;;E;
IT012E00107977;20231007;220000;+02;0,227;;0,0;;;;;E;
IT012E00107977;20231007;221500;+02;0,198;;0,0;;;;;E;
IT012E00107977;20231007;223000;+02;0,158;;0,0;;;;;E;
IT012E00107977;20231007;224500;+02;0,143;;0,0;;;;;E;
IT012E00107977;20231007;230000;+02;0,103;;0,0;;;;;E;
IT012E00107977;20231007;231500;+02;0,159;;0,0;;;;;E;
IT012E00107977;20231007;233000;+02;0,105;;0,0;;;;;E;
IT012E00107977;20231007;234500;+02;0,088;;0,0;;;;;E;
IT012E00107977;20231008;000000;+02;0,085;;0,0;;;;;E;
IT012E00107977;20231008;001500;+02;0,09;;0,0;;;;;E;
IT012E00107977;20231008;003000;+02;0,034;;0,0;;;;;E;
IT012E00107977;20231008;004500;+02;0,086;;0,0;;;;;E;
IT012E00107977;20231008;010000;+02;0,076;;0,0;;;;;E;
